FileName;CharacterName;ExpressionName;DialogueEN;DialogueID
C0-P0;Narrator;-;17 July 2023;17 Juli 2023
C0-P0;Narrator;-;09.40 WIB;09.40 WIB
;;;;
C0-P1;Elara;-;…;…
C0-P1;Elara;-;It’s been a long time since I’ve been down this road…;Udah lama ya gak lewat jalan ini…
C0-P1;Elara;-;It feels like I miss it, too.;Kangen juga rasanya.
C0-P1;Elara;-;Should I let Dad know I'm coming?;Kabarin ayah gak ya kalau aku datang?
C0-P1;Elara;-;I guess no, I've told him already yesterday.;Gak deh, udah kukabarin juga kemarin.
;;;;
C0-P2;Elara;-;Dad isn't messaging anymore.;Ayah gak ngechat lagi dah. 
C0-P2;Elara;-;At least he could sent some kind of reply. Ugh.;Minimal dibales apa gitu. Hadee.
;;;;
C0-P3;Elara;-;Nevermind.;Yasudahlah.
C0-P3;Elara;-;Maybe I should just get some sleep? There's still about a five-hour journey ahead.;Tinggal tidur kali ya? Masih sekitar 5 jam perjalanan.
C0-P3;Elara;-;Father. I'm coming…;Ayah. Aku datang…
